Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Great place,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82198895.htm,5.0,"Nov 29, 2023",Anonymous Employee,"Current Employee, more than 1 year",,Pros,Culture Benefits Employees Leadership Work life balance,Cons,"There are no cons, great place to work.",
Great career-starting company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW20987141.htm,5.0,"Jun 11, 2018",QA Engineer,"Current Employee, more than 3 years","Smithfield, RI",Pros,Benefits including profit sharing and bonuses are great. The breadth of this company provides a great opportunity to try out different career paths or boost your current one.,Cons,"In my current role, I am working overtime more often than I'd like with recognition that seems to only go so far until it sizzles out. That may be tied to the size of the company itself, where promotions work in a ""trickle down"" manner.",226
No respect,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82134231.htm,1.0,"Nov 27, 2023",Regional Support Technician,"Current Employee, more than 5 years","Merrimack, NH",Pros,The benefits are solid... Or so I'm told honestly I don't understand why we don't have a single payer system it's insane that to have health care you need a stable job.  Don't even get me started on dental... What are they?  Luxury bones?,Cons,"Despite the fact that the average employee of this company can't even power on a computer my role is the lowest paid in the company.

To be clear the folks who work from home taking chats/calls who escalate their tickets to my team make more than my team. 

Let's talk numbers.

Inflation in 2021 was around 9% but the average raise for my team was 2%.

2022 was again around 9... But we got a whopping 7%.

That's a pay cut baby.  When we spoke to our leadership they literally told us to go find another job.

What's more is there is no out. You are trapped in this role forever or until you find something better elsewhere.  They offer programs to ""help you progress."" but then banish the techs because they don't want tech people. 

They also abuse the ever living crap out of contractors.  They want you as an employee handling people with millions of dollars in trades laptops but they don't wanna give health care.  Incredible.",3
Ehh...,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82004455.htm,2.0,"Nov 21, 2023",Financial Customer Associate,Current Employee,"Durham, NC",Pros,The starting pay is pretty good for a call center. Great benefits as well.,Cons,"They claim that there are so many different opportunities to grow within the company, but make it impossible to explore those options due to working a strict schedule on the phones. The call volume is back to back with no room to breathe in between calls. You go through 3 months of training and still feel confused at the end. They encourage you to ask questions and reach out for help, but when you reach out for help, you're reprimanded for doing so. You have no say so in your schedule and you have to work between 12pm-8pm so say goodbye to having any type of social life. They offer free therapy and after working there for about a week, you'll quickly understand why.",3
Let Go While 7 Months Pregnant,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW80985681.htm,1.0,"Oct 16, 2023",Financial Consultant I,"Former Employee, more than 1 year","Chicago, IL",Pros,I was drawn to the training program for the Financial Consultant role. Good 401k match.,Cons,"I was in a 1 year training program for the Financial Consultant role while completing my CERTIFIED FINANCIAL PLANNER™ certification. I was told I needed to sell more insurance, annuities, and managed accounts in order to continue on as a Financial Consultant. I was let go as soon as I hit the 1 year mark, shortly after I became a CFP® professional. I had told HR that I was pregnant when I became concerned about losing my job and asked to be considered for a different role within Fidelity (since I knew I would not be able to interview and start another job at 7 months pregnant). After I was let go by my manager, I reached back out to HR and they were not even aware that my employment was being terminated. Everyone I dealt with at Fidelity was extremely insensitive to the fact that this would cause a huge amount of stress to me and my family at a time that stress had serious potential health risks to myself and my baby. I ended up being unemployed for close to 9 months. I was interviewing for new jobs while also taking care of a newborn and paying extremely high premiums for health insurance for my family. Only 23% of CFP professionals are women, and only about 15% of financial advisors are women. Even though Fidelity touts its family values and culture, I would not recommend Fidelity to women based on my experience.",18
Not what it seems,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82174148.htm,1.0,"Nov 29, 2023",Client Relationship Advocate,Current Employee,"Covington, KY",Pros,The people outside of the onboarding group are amazing and extremely helpful.,Cons,"Toxic doesn't begin to describe how things are. The onboarding managers openly compare you to others, bring up personal things in 1 on 1s about other associates and make comments about your life like suggesting you should be married or have children by now. They yell at you on the floor in front of the entire facility if you do something they don't like. The don't advocate for people who have disabilities when it comes to learning the material so you're constantly compared to others openly. They require you to work multiple hours a week UNPAID after your schedule and on weekends. They SUGGEST you should work through your breaks and lunches.",2
Great company for long term career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82013515.htm,4.0,"Nov 22, 2023","Director, Risk Management","Current Employee, more than 10 years","Boston, MA",Pros,"Fidelity has two main driving goals, first is customer experience/satisfaction and the other is retaining talent. These can be challenging to balance at times, but they do their best and are mostly successful at it. Flexible work schedules is primary reason Fidelity is retaining a lot of their talent. It's for these reasons I've been with the company almost 20 years and plan to retire here if possible.",Cons,"Lately the company has been getting a little political and pushing some activist type initiatives, which doesn't sit well with many employees. They of course won't speak up and say much, especially ones who've been around a while. The company needs to stick to financial matters and stay away from woke agendas or they may face backlash even if their intentions are sound.",2
"Good company, but could be so much better",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81361811.htm,4.0,"Oct 29, 2023",User Experience Designer,"Current Employee, more than 1 year","Research Triangle Park, NC",Pros,"Encourages career mobility, benefits, work/life balance, dynamic working option for those who want it (1 week in office for local remote workers), own entire end-to-end initiatives in 1 business unit or just projects in the other, ux team apart from product team but still integrated, some autonomy on how you work, ux culture, company culture, maintains accessibility standards, employee resource groups, learning day every 2 weeks",Cons,"Slow production cycle, corporate red tape, some product directions are not defined, communication from management, managers not knowing how to manage,  new design systems every few years, hard to get promotions within team unless you're a white male,  boys club, enforcement of connect weeks (no flexibility of when you come in & forcing us to come in in the first place), promotes agile but doesnt practice it well, strained ux research team and limited access to users, wants to sacrifice ux principles for sake of visual alignment",2
Constant opportunity for development and growth for those who want it,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW6026362.htm,5.0,"Mar 2, 2015",Anonymous Employee,"Current Employee, more than 10 years","Westlake, TX",Pros,"Large, privately held firm with values that are reinforced at all levels of leadership. Career opportunities are ongoing and the vast majority of people at the firm will help you progress if you're willing to do the work.
Fidelity provides exceptional benefits with options based on personal needs and various family situations. While pay and bonus structures are sometimes criticized, being patient will pay off for those who are willing to wait.",Cons,"Fidelity retail is open 24 hours, causing scheduling conflicts for some candidates
Career tracks within the firm can be limited due to licensing requirements, or lack of licensing flexibility in the groups",184
Good but not great,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81524689.htm,3.0,"Nov 3, 2023",Associate Director,"Former Employee, more than 10 years",,Pros,Over 10 yrs with the company and there is a lot to like about Fidelity. Their 401k match and profit sharing is impressive. Great starting place for a career. Career mobility is available yet there can be ceilings for advancement. Their products and platform solutions are also quite good. Truly a client centric organization and is focused on maintaining that perception. Their approach during Covid was pretty level-headed.,Cons,"Consistent theme where senior mgmt proved to be disinterested and detached from the happenings on the ground. In retrospect, there is also an unhealthy fear within the workforce. There was always a worry about a rumored layoff and then those that always make a point to ‘appear busy.’ Often you will hear from peers or managers that the grass isn’t always greener or that you should think twice before leaving. Other comments regarding excessive workload expectations and having a stressful work environment are also understated. That is pretty consistent across the channels.",3
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81971986.htm,4.0,"Nov 20, 2023",Senior Service Support Specialist,Current Employee,"New York, NY",Pros,"Fidelity is a great place to work for several compelling reasons. Firstly, the company's commitment to fostering a collaborative and inclusive culture sets it apart. Employees at Fidelity experience a supportive environment that values diversity and encourages open communication. Secondly, Fidelity places a strong emphasis on professional development, offering numerous opportunities for career growth and skill enhancement. The company's dedication to innovation and cutting-edge technology ensures that employees have the tools and resources to excel in their roles. Lastly, Fidelity's unwavering focus on work-life balance and its recognition of employee contributions through various programs make it an employer of choice, creating a positive and rewarding experience for its workforce.",Cons,work life balance not always the best call center environment,
"Great Benefits and Managers, but Old-fashioned approach to work",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81727629.htm,4.0,"Nov 10, 2023",Retirement 401(K) Plan Associate,"Former Employee, less than 1 year","Westlake, TX",Pros,"6% 401(k) match, Volunteer time off in addition to Paid time off. PTO is about five work weeks. Managers are very understanding of your personal life. Career development is great; you get promoted quickly. They also have a ""Fidelity Made"" program for people interested in tech.",Cons,"Upper leadership doesn't listen to employees. Every quarter, they require employees to come into the office more and more, and they took away the free meal on top of that. So you end up spending a lot of money going to work. They kept saying, ""It was always our intention to go back to the office."" even though the majority of the people who work there were hired during the lockdown and were attracted because of the remote option.",3
Fidelity EA,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81871031.htm,2.0,"Nov 16, 2023",Executive Assistant,Current Employee,,Pros,the people. the technology. working remote.,Cons,"EAs pigeonholed. Managers not willing to support career advancement. Feeling of not being a part of a team and unappreciated, undervalued. Reporting to an Admin instead of Senior Executives. Low pay scale compared to other large Boston firms.",1
Amazing entry-level opportunity with great benefits,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81501600.htm,4.0,"Nov 2, 2023",Financial Associate,"Former Employee, more than 3 years","Westlake, TX",Pros,"I enjoyed all the essential skills, especially in customer service, and retirement planning that I developed during my experience at Fidelity. I also appreciate how amazing the benefits were and how well I was trained to excel on the job.",Cons,Servicing 60+ calls each day can be exhausting especially during the early to the middle of the year. I also believe that I didn't receive as much support as I would've liked in career growth based on the areas I was interested in within the company based on my overall interests.,1
It was good until it wasn't,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81062899.htm,3.0,"Oct 18, 2023",UX Design Director,Current Employee,,Pros,"Generally a good place to work. Decent pay. Great benefits. Relatively high UX maturity. Out of the hundreds of people I've met and worked with, there are only a handful that I wouldn't want to work with again, which I think says a lot.",Cons,"D&I efforts are limited and often just checking boxes. Win awards for employing women, but is still very much dominated by men. Very cheap regarding training and conferences. Once you've been there a while, your pay becomes less and less competitive with the market. Performance is competitive (only certain percentage can be at top), which hurts collaboration and is demoralizing when you do great work and aren't recognized for it.",7
"Great Culture, Great Underpay",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81996756.htm,3.0,"Nov 21, 2023",Investment Solutions Representative,Current Employee,,Pros,"Good support system and benefits, lots of opportunity to move up and they allow a decent work life balance",Cons,"Pay is not where it should be with the level of work you do with clients, days can be long and you can be talking to people about very complicated investments and goals with little reward. They underpay then offer a quarterly bonus that you have absolutely have to grind all quarter to get the full amount which still doesn’t add up to what your worth",2
Positive Experience,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82194032.htm,5.0,"Nov 29, 2023",Director,"Former Employee, more than 8 years","Boston, MA",Pros,"People, technology, culture, and benefits were all very strong. Only left because a great offer for more money came up outside or else could have stayed for decades.",Cons,"Its a company of 60,000 so it's hard to go outside the box with new ideas without it taking years for approval and through several layers",
Racist Manager & Definition of Micromanaging,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82193973.htm,1.0,"Nov 29, 2023",Customer Relationship Advocate,"Former Employee, more than 1 year","Greenwood Village, Arapahoe, CO",Pros,The licensing training program was good,Cons,"Despite the company promoting "" how friendly/ welcoming their company culture is"", the manager I had was racist and unprofessional and I had to report HIM AND FIDELITY to EESO. 
They also brainwash you into thinking you are some sort of ""financial professional"" --this is just a call center job...
 Believe every single negative review you see here cuz they are true!!!
If you like to work at a Cult--this is the place for you!",2
They care about their employees,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81646910.htm,3.0,"Nov 8, 2023",Investment Solutions Representative,"Current Employee, more than 3 years","Orlando, FL",Pros,They seem to care more about their employees than most other firms I’ve worked. Maybe bc they’re private but would recommend for culture over other firms.,Cons,Pay. They also have a hierarchy for promotions that isn’t as seamless or lateral as they like to showcase it to be. There is a lot of competition since there is a lot of folks w your exact skill set in your exact role gunning for your desired position and can be make it really timely or difficult to advance if you have your eyes set on a specific role. (Or location),2
Excellent Organization to grow with,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81836699.htm,5.0,"Nov 15, 2023",Customer Relationship Advocate,"Former Employee, less than 1 year","Durham, NC",Pros,"They enable potential employees with the tools, vision, and experience of what their future will encompass once they are onboarded. They help you to become successful in your career journey at Fidelity.",Cons,"I can't say this is a con, although the rigorous testing and interviewing process can be tedious and intimidating to some.",
Good Benefits,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81918788.htm,4.0,"Nov 18, 2023",Principal Software Engineer Test,"Current Employee, less than 1 year","Westlake, TX",Pros,"Good Work culture - But it will depend on the team and the manager. Good 401K match and Profit sharing - Will take care of your retirement. You can use the net salary for other things and not worry about the retirement,",Cons,"If you join in Feb or Mar you will work for 11 or 10 months in that year and won't be eligible for the profit sharing next year. Vs someone joining in Nov or Dec, they may not get profit sharing for just 1 or 2 months. This to me look little unfair.",
Equitable,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79459401.htm,5.0,"Aug 24, 2023",Customer Relationship Advocate,"Current Employee, more than 1 year","Salt Lake City, UT",Pros,"They really lookout for your mental health and assist with non-work related wellness. As part of the many benefits are support for family support, maternity/paternity leave, access to mental health support, student loan reimbursement, home buying assistance, and concierge to assist with basically anything! I can't cover everything they do for you here, it's a village for you and your family to build a career on. The company really believes, if you're a well rounded individual- your satisfaction will be mirrored in the client's satisfaction.",Cons,"Pay is lower starting out than other companies, but the benefits and work/life balance (only required to be in office 1 week out of the month) more than makes up for the lower pay. while the company is working to create a more equitable workspace, the employees themselves are often clicky (whether it's religious or gender based). Things are getting better, but it will take more time for the overall culture to change.",3
Good experience,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82209423.htm,4.0,"Nov 30, 2023",401k Specialist,"Former Employee, more than 1 year",,Pros,Good people and potential for networking,Cons,"micromanagement, promotions vertically, and true manager 1-1 development",1
Call Center,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81065412.htm,4.0,"Oct 18, 2023",Customer Relationship Advocate,Former Employee,,Pros,"Really good benefits, WFM options, clean facilities, paid licensing, friendly managers and teammates, strong company culture",Cons,"The company is fine but this is a call center role. Once you finish your licensing, you're on the phones or on chats most of the time. Clients can be demanding and your success is dependent on your metrics. The only way to move into a new role is by being really efficient with your calls, regardless of your other qualifications or if the desired role is even on the phones.",2
Work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82158425.htm,3.0,"Nov 28, 2023",Finance,"Former Employee, more than 3 years","Jersey City, NJ",Pros,"Nice people, professional environment and office space was very nice",Cons,Too many meetings during the week,
Excellent company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82074269.htm,4.0,"Nov 24, 2023",Anonymous Employee,"Current Employee, more than 3 years","Philadelphia, PA",Pros,I work remotely and my schedule is very flexible. I’ve never felt micromanaged in the 3 years I’ve worked for Fidelity. I can’t say enough good things,Cons,Salary is good.- but could be better,
Overall great place to start my career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81756434.htm,5.0,"Nov 12, 2023",Associate Actuary,"Current Employee, less than 1 year","Durham, NC",Pros,"Great people, great office with great amenities. My managers are excellent people and have been training me well in my role. I am getting a manageable workload with plenty of leeway for my study time. Overall great place to work, although I don't have much to compare it to since this is my first full time job.",Cons,"This job is in consulting, which may appeal to everyone.",
Company Culture Took a Nose Dive,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW80494311.htm,1.0,"Sep 28, 2023",Communication Consultant,"Former Employee, more than 10 years",,Pros,Robust benefits package that included 7% 401k match and profit sharing.,Cons,"Fidelity used to be a champion for their associates but after requiring employees to work remotely for over 2 years that came to an abrupt end in favor of real estate value. Associates stepped up to make Fidelity look good and maximize profits when the pandemic started, pivoting to working at home at a moments notice only to be bullied to return to the office and micromanaged despite the overwhelming request of associates to remain remote. Gone is the autonomy and flexibility as ""Big Brother"" started watching your every badge swipe. Go ahead take PTO during a Connect Week, but be prepared to have to make those days up in the office. The required in-office attendance wasn't really helping with collaboration, associates kept earbuds in and to themselves anyway and still attended all meetings virtually. Associates who moved hundreds, or even thousands of miles away from a Fidelity campus were not exempt from the Connect Week requirements forcing many great associates to leave the company.",15
Great workplace,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82097207.htm,5.0,"Nov 26, 2023",Planning Consultant,"Current Employee, more than 1 year","New York, NY",Pros,benefits people career mobility flexibility work life balance is top of mind,Cons,sick time is part of PTO,
Amazing company to work for,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81627426.htm,4.0,"Nov 7, 2023",Retirement Planner,Current Employee,"Salt Lake City, UT",Pros,The people and management at Fidelity are top notch. I feel valued and heard by management. I love the people I work with. There has been exponential room for growth.,Cons,The strict schedule adherence feels like we're being micromanaged. The biggest con is the lack of flexibility in the job. Also can feel burned out by the constant service to planning call model.,3
Not as they seem,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81107852.htm,2.0,"Oct 19, 2023",Customer Relationship Advocate,Former Employee,,Pros,"Great benefits, remote work, and a good starting pay.",Cons,"They don’t tell you that if you don’t pass exams you get fired. They give you 30 days to find a job within the company, but fail to tell you that most jobs either ask for experience or wait till 30 days is up to reapply.",5
Fidelity Boston,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81503341.htm,4.0,"Nov 2, 2023",Sr. Category Manager,"Current Employee, more than 1 year","Boston, MA",Pros,"Good benefits, profit sharing, 401k match up to 6%, time off encouraged. Outgoing teams. The company tries to provide lots of learning, social engagements, training and networking opportunities internally.",Cons,"High stress levels (depending on position), moving towards more in office time than hybrid roles. Key location Boston, but can also work in Smithfield, RI or NH. Likes to start people in contract roles initially. You then have to apply for FTE opportunities. Sometimes very hard to get into, depending on the business unit.",
Ok,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81995671.htm,4.0,"Nov 21, 2023",Financial Services Representative,"Former Employee, more than 3 years","Merrimack, NH",Pros,Good environment and work life balance,Cons,Managerial staff will forget about your request I.E. shift change if you are doing well and if it is not beneficial for them to move you,
Great company to work for.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81945141.htm,5.0,"Nov 19, 2023",Systems Support Analyst,Current Employee,"Westlake, TX",Pros,Very collaborative and balanced work environment.,Cons,Open floor cubicle layout but that's currently being revamped which is a huge mood changer when in the office,
It’s alright,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82048899.htm,4.0,"Nov 23, 2023",Retirement Specialist,"Current Employee, more than 3 years","Westlake, TX",Pros,Great benefits Workplace is actually nice,Cons,"Management is alright, depending on who your team lead is. It can be the best or worst",
Good Growth Opportunities and Culture,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81911238.htm,5.0,"Nov 17, 2023",Customer Relationship Advocate,Current Employee,,Pros,The company has been excellent in the year I have been with them. The company cares about developing its people and has created an environment to promote that.,Cons,The rice in the cafeteria is usually too dry,
Non existent,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81661215.htm,3.0,"Nov 8, 2023",Fixed Income Specialist,Former Employee,,Pros,Nothing good lately. Use to be a great place to work.,Cons,Terrible middle management. Too many people with no practical management knowledge making decisions. Use to look at skill sets to match jobs. Now just wants to take every person and turn them into a robot to do what they say when with no actually thinking required on employees part.,2
Not competitive with other programs,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81909297.htm,3.0,"Nov 17, 2023",CRA,"Former Employee, more than 3 years","Westlake, TX",Pros,-culture -ample break time -profit sharing,Cons,-pay is low for what you can get at other financial firms -hard to leave a department if not a good fit,1
Work-life balance is great!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81901506.htm,5.0,"Nov 17, 2023",Director,"Current Employee, more than 1 year","Merrimack, NH",Pros,"People are always willing to help teach, and I love the work-life balance",Cons,I don't feel like all my skills from previous employers are valued,
"Company is good, but call center job is unsustainable",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81912106.htm,3.0,"Nov 17, 2023",Customer Service Associate,"Former Employee, more than 1 year","Raleigh, NC",Pros,"Good benefits, good facilities, on-site cafeteria",Cons,"Extremely restricted schedule, sometimes mandatory overtime, moving up = dealing with the most difficult customers",1
Work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82012060.htm,3.0,"Nov 22, 2023",Systems Engineer,"Former Employee, more than 3 years","Durham, NC",Pros,401K match and the leap program,Cons,Infrastructure and roadmap mot clear.,
Early Career Start to get your licenses,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81740356.htm,4.0,"Nov 11, 2023",High Net Worth Financial Representative,"Former Employee, more than 1 year","Westlake, TX",Pros,"401k match, health, vision and dental benefits are good and bonuses",Cons,"work life balance, have to bid for popular holidays, no room for growth and development",
Great Benefits Promotions are based on favoritism not performance,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81696728.htm,3.0,"Nov 9, 2023",Investment Consultant,"Former Employee, more than 3 years","Houston, TX",Pros,Great Benefits and pay. Training is really good.,Cons,"Promotions are based on favoritism, a lot of management saying one thing and doing another. Inconsistent management practices.",2
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81814203.htm,5.0,"Nov 14, 2023",Planning Consultant,Current Employee,,Pros,Always hiring so many resources for successful believe in the mission of helping people and win at so many things Fast adapting,Cons,it can be difficult for those who do not have a passion,
ITs nice,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW82002113.htm,5.0,"Nov 21, 2023",Software Engineer,"Current Employee, more than 1 year","Durham, NC",Pros,-good work culture -very flexible -amazing teams,Cons,-salary not so high -boring work,
Safe place. Money culture.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81792053.htm,3.0,"Nov 13, 2023",Planning Associate,"Former Employee, less than 1 year","Phoenix, AZ",Pros,Safe place to work if you produce consistent results.,Cons,Culture is all profit driven. Nobody actually cares about anything else but making money. Money hungry mentality.,1
Unwilling to evolve with today’s workforce,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81171170.htm,2.0,"Oct 22, 2023",Creative & UX Director,"Current Employee, more than 10 years","Boston, MA",Pros,Fidelity’s salary and benefits are competitive.,Cons,"Fidelity’s executives are completely out of touch with employee needs. Even if your entire team is scattered across the globe, they still require you to come into the office to do Zoom meetings. 🤦🏻‍♂️ As polite as the employees are, they are definitely herd followers. Employees here do not want to be held accountable, so meaningfully change is rarely seen at Fidelity. They also generally have a vested interest in maintaining the status quo.",2
"Great Co-workers, Horrendous Management",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79725685.htm,3.0,"Sep 3, 2023",Anonymous Employee,Current Employee,"Westlake, TX",Pros,"The benefits are amazing. Whether it be the adoptions benefits, 401k match, profit share, PTO, the benefits are what keep me around. Coworkers are always very friendly and wonderfully supportive.",Cons,"Management, especially at the WI VP level lately, has begun to treat strangle its workforce. It is courting the 401k 403B business to the last penny and is willing to sacrifice its associates well-being. Any problem that occurs is blamed on the lowest on the pole. Lots of monitoring of our movement (92% has to be at the desk of your day) and very little time to learn or move up. Managers on a whole are good people but have no power to help. Lower managers also tend to favor the people they manage on site for promotions.",6
Easy interview,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81954990.htm,3.0,"Nov 20, 2023",Principal Software Engineer,Current Employee,"Merrimack, NH",Pros,Easy to get in Some cool projects,Cons,"Too political 
Can’t advance without professional relationships",
CRA role: read this first!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW80500091.htm,4.0,"Sep 28, 2023",Customer Relationship Advocate,Former Employee,"Merrimack, NH",Pros,"1.) About 20 PTO days, benefits, lots of perks like a concierge you can call to help with anything. 2.) My managers were very good at communicating and looking out for my mental health. I was going through licensing for a call center role and was getting a little burnt out. One of my managers even had a real talk with me about how hard the role was and supported my decision to leave the company. The managers are the real gems.",Cons,"1.) Fidelity requires associates to be in one week every month. Though it was nice to work from home most of the time, the in office week was required and NOT flexible. Sometimes I had to use my PTO days because I was sick and couldn't make it to the office. I would rather be in the office any 5 days of my choosing. 2.) Licensing is hard. Many people left because they couldn't pass the tests (including me). I was in training long enough to see what my role looked like after licensing and it only gets harder. 2.) If you're in the CRA role, please read this first. Do you really want to stay in a job where it's just one call after the other, no idea what it's going to be about, no idea if the client is going to scream at you, and thrown into it without any real training? Fidelity training is very long but does not go over every scenario there is; they expect you to know 100 things while doing something as simple as phone calls. Most of them were password resets or transfers to branches and while most clients were very pleasant, there were some that were outright abusive. I don't blame them as it's managing their money but some could ruin your day. I would not doubt it if my role was completely taken over by AI in a few years. Licensing was fine but once you get to the job it is very overwhelming and exhausting. I knew some coworkers who said that it was very stressful learning so much while also not knowing everything. There just isn't enough time fit everything in your schedule. This was what my day was like when taking calls for two weeks: - 8am: 30 minute team meeting (sometimes this was at 4:30 depending on schedule) - 8:30am: start calls for the day - 10:30am: take 15 min break - 12pm: break for lunch - 1pm: start calls again - 3:30pm: take 30 minute break - 5pm: end day I could take a 45 min break which is measured to the minute while lunch after training is only a half hour. Your whole day will just be phone calls. On my worst day I took about 40 but I've known people who took 60. Even just two days on the phones burnt me out so much.",7
Not a great job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81846711.htm,1.0,"Nov 15, 2023",Customer Service Representative,"Current Employee, more than 10 years","Smithfield, RI",Pros,"Training is great, support is great. Fidelity can't hang on to talent. They maintain folks who can give all their blood and never provide recognition",Cons,"Constant negative feedback, never happy even when you have great results. Most employees are miserable",2
I wish I could of passed the SIE,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81431691.htm,5.0,"Oct 31, 2023",Financial Representative,"Current Employee, less than 1 year",,Pros,"Excellent company benefits, growth opportunities, and co workers from so many diverse backgrounds. The cream of the crop works here for sure.",Cons,"I could pass my SIE exam, so I got let go. They did it with dignity and even let me finish out the month. I wish that exam wasn’t necessary.",1
Solid place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW80657584.htm,4.0,"Oct 4, 2023",Stock Broker,Former Employee,,Pros,"Career development, lots of perks, generally work with good people.",Cons,Always too much overtime during tax season. Some metrics for being on phones promote poor practices by other employees and then you may get the call of an upset client. At the phone site it can be difficult to move up because everyone is gunning for the next spot.,1
Go for it!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81431746.htm,5.0,"Oct 31, 2023",Customer Relationship Advocate,"Former Employee, less than 1 year","Jacksonville, FL",Pros,"Great benefits, hybrid work model (or fully remote if you don't live near a regional office), a lot of opportunity for growth. If you're hired into a role that requires licensing, they provide all the training and materials you'll need to pass the licensing exams, plus they pay you to study and prep!",Cons,I did not experience any cons.,
Base pay well below market value,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW80828886.htm,3.0,"Oct 10, 2023",UX Designer,Current Employee,,Pros,"Good work/life balance, good benefits, good people",Cons,"The base pay compared to other similar companies and beyond is WAY below average. They rely heavily on the notion that their benefits package and bonus structure make up for this, but it does not. Most companies offer very similar benefits and then some at this point.",4
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW81682496.htm,5.0,"Nov 9, 2023",Investment Management Consultant II,"Current Employee, more than 3 years","Miami, FL",Pros,Great culture. Nice amount of PTO. Great benefits. Pay for CFP and help with higher education,Cons,I dont have any cons. Perhaps to pay a little bit more,
